args.seed :  0
args.device :  cuda:0
args.train:  True
args.infer:  False
args.file_path:  /home/emforce77/TabFormer-main/modular_regression/multiple_scenario_data_fin2.xml
Data dimension: 300, Max sequence length: 30, num_intent : 7
Data Split Over
expanded_train_data_num 9663
expanded_val_data_num 2040
expanded_test_data_num 2050
col_dim 5 region_len 60 sequence_len 30 num_classes 445
Filtered data count: 111
train_loader
create_model
The model has 1,102,355 trainable parameters
trainer
Epoch [23/300], Loss: 385.7134, Val Loss: 370.7717, MAE: 8.4311, RMSE: 19.2162, Non-zero MAE: 26.2651, Non-zero RMSE: 40.5519, Sequence Accuracy: 0.5121, Non-zero Accuracy: 0.0168, Intent Accuracy: 0.1368
Epoch [24/300], Loss: 385.1249, Val Loss: 370.7768, MAE: 8.4197, RMSE: 19.2159, Non-zero MAE: 26.3027, Non-zero RMSE: 40.5836, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1490
Epoch [25/300], Loss: 384.7627, Val Loss: 370.7663, MAE: 8.4192, RMSE: 19.2163, Non-zero MAE: 26.3012, Non-zero RMSE: 40.5859, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1490
Epoch [26/300], Loss: 385.0756, Val Loss: 370.7712, MAE: 8.4177, RMSE: 19.2160, Non-zero MAE: 26.3061, Non-zero RMSE: 40.5863, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1328
Epoch [27/300], Loss: 384.7838, Val Loss: 370.7715, MAE: 8.4194, RMSE: 19.2160, Non-zero MAE: 26.3010, Non-zero RMSE: 40.5857, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.1328
Epoch [28/300], Loss: 384.2615, Val Loss: 370.7751, MAE: 8.4173, RMSE: 19.2157, Non-zero MAE: 26.3107, Non-zero RMSE: 40.5909, Sequence Accuracy: 0.5121, Non-zero Accuracy: 0.0167, Intent Accuracy: 0.1275
Epoch [29/300], Loss: 385.3727, Val Loss: 370.7749, MAE: 8.4206, RMSE: 19.2161, Non-zero MAE: 26.3035, Non-zero RMSE: 40.5855, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1328
Epoch [30/300], Loss: 384.4469, Val Loss: 370.7724, MAE: 8.4218, RMSE: 19.2161, Non-zero MAE: 26.2927, Non-zero RMSE: 40.5783, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1275
Epoch [31/300], Loss: 384.9759, Val Loss: 370.7685, MAE: 8.4180, RMSE: 19.2158, Non-zero MAE: 26.3036, Non-zero RMSE: 40.5908, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1275
Epoch [32/300], Loss: 384.0526, Val Loss: 370.7694, MAE: 8.4203, RMSE: 19.2158, Non-zero MAE: 26.2959, Non-zero RMSE: 40.5819, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0167, Intent Accuracy: 0.1328
Epoch [33/300], Loss: 385.0427, Val Loss: 370.7669, MAE: 8.4118, RMSE: 19.2156, Non-zero MAE: 26.3184, Non-zero RMSE: 40.6045, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.1368
Epoch [34/300], Loss: 384.5973, Val Loss: 370.7697, MAE: 8.4298, RMSE: 19.2162, Non-zero MAE: 26.2641, Non-zero RMSE: 40.5643, Sequence Accuracy: 0.5121, Non-zero Accuracy: 0.0169, Intent Accuracy: 0.1275
Epoch [35/300], Loss: 385.3700, Val Loss: 370.7722, MAE: 8.4292, RMSE: 19.2157, Non-zero MAE: 26.2663, Non-zero RMSE: 40.5596, Sequence Accuracy: 0.5121, Non-zero Accuracy: 0.0168, Intent Accuracy: 0.1328
Epoch [36/300], Loss: 384.5698, Val Loss: 370.7656, MAE: 8.4183, RMSE: 19.2158, Non-zero MAE: 26.2990, Non-zero RMSE: 40.5854, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1275
Epoch [37/300], Loss: 385.2784, Val Loss: 370.7566, MAE: 8.4084, RMSE: 19.2137, Non-zero MAE: 26.3263, Non-zero RMSE: 40.6145, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.1490
Epoch [38/300], Loss: 385.2393, Val Loss: 370.3972, MAE: 8.4186, RMSE: 19.2017, Non-zero MAE: 26.2565, Non-zero RMSE: 40.5413, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.2206
Epoch [39/300], Loss: 382.7635, Val Loss: 369.2212, MAE: 8.4094, RMSE: 19.1759, Non-zero MAE: 26.2192, Non-zero RMSE: 40.4973, Sequence Accuracy: 0.5097, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.2520
Epoch [40/300], Loss: 380.9212, Val Loss: 368.3207, MAE: 8.3103, RMSE: 19.1595, Non-zero MAE: 26.4545, Non-zero RMSE: 40.7333, Sequence Accuracy: 0.5075, Non-zero Accuracy: 0.0160, Intent Accuracy: 0.3137
Epoch [41/300], Loss: 379.2829, Val Loss: 367.2922, MAE: 8.4153, RMSE: 19.1281, Non-zero MAE: 26.0173, Non-zero RMSE: 40.3537, Sequence Accuracy: 0.5076, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.2176
Epoch [42/300], Loss: 378.8733, Val Loss: 366.8290, MAE: 8.2359, RMSE: 19.1172, Non-zero MAE: 26.4906, Non-zero RMSE: 40.7992, Sequence Accuracy: 0.5050, Non-zero Accuracy: 0.0154, Intent Accuracy: 0.2877
Epoch [43/300], Loss: 376.6493, Val Loss: 363.8110, MAE: 8.3633, RMSE: 19.0471, Non-zero MAE: 25.9008, Non-zero RMSE: 40.2523, Sequence Accuracy: 0.5030, Non-zero Accuracy: 0.0173, Intent Accuracy: 0.3539
Epoch [44/300], Loss: 373.9601, Val Loss: 362.5702, MAE: 8.4463, RMSE: 19.0005, Non-zero MAE: 25.5192, Non-zero RMSE: 39.8171, Sequence Accuracy: 0.5014, Non-zero Accuracy: 0.0172, Intent Accuracy: 0.2873
Epoch [45/300], Loss: 370.2670, Val Loss: 359.1420, MAE: 8.2551, RMSE: 18.9227, Non-zero MAE: 25.8816, Non-zero RMSE: 40.1621, Sequence Accuracy: 0.5012, Non-zero Accuracy: 0.0159, Intent Accuracy: 0.3162
Epoch [46/300], Loss: 366.4862, Val Loss: 354.9445, MAE: 8.3196, RMSE: 18.8168, Non-zero MAE: 25.4701, Non-zero RMSE: 39.6651, Sequence Accuracy: 0.4952, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.3701
Epoch [47/300], Loss: 362.4587, Val Loss: 352.2413, MAE: 8.3037, RMSE: 18.7443, Non-zero MAE: 25.3468, Non-zero RMSE: 39.5152, Sequence Accuracy: 0.4921, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.3637
Epoch [48/300], Loss: 360.2295, Val Loss: 350.0455, MAE: 8.2976, RMSE: 18.6872, Non-zero MAE: 25.2288, Non-zero RMSE: 39.3558, Sequence Accuracy: 0.4898, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.4172
Epoch [49/300], Loss: 357.9885, Val Loss: 348.2616, MAE: 8.2727, RMSE: 18.6386, Non-zero MAE: 25.1719, Non-zero RMSE: 39.2398, Sequence Accuracy: 0.4898, Non-zero Accuracy: 0.0160, Intent Accuracy: 0.4328
Epoch [50/300], Loss: 356.0180, Val Loss: 346.6461, MAE: 8.2912, RMSE: 18.5933, Non-zero MAE: 24.9898, Non-zero RMSE: 38.9911, Sequence Accuracy: 0.4880, Non-zero Accuracy: 0.0159, Intent Accuracy: 0.3887
Epoch [51/300], Loss: 353.5564, Val Loss: 344.9005, MAE: 8.2315, RMSE: 18.5540, Non-zero MAE: 25.0363, Non-zero RMSE: 39.0570, Sequence Accuracy: 0.4882, Non-zero Accuracy: 0.0153, Intent Accuracy: 0.4554
Epoch [52/300], Loss: 352.1694, Val Loss: 343.5770, MAE: 8.2090, RMSE: 18.5181, Non-zero MAE: 25.0071, Non-zero RMSE: 38.9456, Sequence Accuracy: 0.4883, Non-zero Accuracy: 0.0155, Intent Accuracy: 0.4725
Epoch [53/300], Loss: 349.9607, Val Loss: 342.5078, MAE: 8.1853, RMSE: 18.4881, Non-zero MAE: 24.9994, Non-zero RMSE: 38.8883, Sequence Accuracy: 0.4885, Non-zero Accuracy: 0.0154, Intent Accuracy: 0.4765
Epoch [54/300], Loss: 349.1880, Val Loss: 341.6265, MAE: 8.1619, RMSE: 18.4650, Non-zero MAE: 24.9970, Non-zero RMSE: 38.8865, Sequence Accuracy: 0.4888, Non-zero Accuracy: 0.0153, Intent Accuracy: 0.5059
Epoch [55/300], Loss: 347.7423, Val Loss: 341.9054, MAE: 8.1659, RMSE: 18.4636, Non-zero MAE: 24.9624, Non-zero RMSE: 38.7002, Sequence Accuracy: 0.4887, Non-zero Accuracy: 0.0149, Intent Accuracy: 0.4539
