args.seed :  0
args.device :  cuda:3
args.train:  True
args.infer:  False
args.file_path:  /home/emforce77/TabFormer-main/modular_regression/multiple_scenario_data_fin2.xml
Data dimension: 300, Max sequence length: 30, num_intent : 7
expanded_train_data_num 9663
expanded_val_data_num 2040
expanded_test_data_num 2050
Data Split Over
col_dim 5 region_len 60 sequence_len 30 num_classes 445
Filtered data count: 111
train_loader
create_model
The model has 2,995,955 trainable parameters
trainer
Epoch [23/300], Loss: 230.6818, Val Loss: 245.8957, MAE: 6.6668, RMSE: 15.6779, Non-zero MAE: 21.7713, Non-zero RMSE: 33.1309, Sequence Accuracy: 0.4658, Non-zero Accuracy: 0.0115, Intent Accuracy: 0.7789
Epoch [24/300], Loss: 224.0349, Val Loss: 241.3018, MAE: 6.7065, RMSE: 15.5303, Non-zero MAE: 21.4265, Non-zero RMSE: 32.6244, Sequence Accuracy: 0.4656, Non-zero Accuracy: 0.0124, Intent Accuracy: 0.7583
Epoch [25/300], Loss: 220.3992, Val Loss: 238.5143, MAE: 6.6127, RMSE: 15.4426, Non-zero MAE: 21.5179, Non-zero RMSE: 32.5512, Sequence Accuracy: 0.4658, Non-zero Accuracy: 0.0117, Intent Accuracy: 0.7863
Epoch [26/300], Loss: 218.0478, Val Loss: 234.3320, MAE: 6.6152, RMSE: 15.3083, Non-zero MAE: 21.2953, Non-zero RMSE: 32.2622, Sequence Accuracy: 0.4635, Non-zero Accuracy: 0.0120, Intent Accuracy: 0.8167
Epoch [27/300], Loss: 216.2998, Val Loss: 232.5790, MAE: 6.5038, RMSE: 15.2497, Non-zero MAE: 21.3952, Non-zero RMSE: 32.2647, Sequence Accuracy: 0.4650, Non-zero Accuracy: 0.0114, Intent Accuracy: 0.8152
Epoch [28/300], Loss: 213.5809, Val Loss: 228.9732, MAE: 6.6803, RMSE: 15.1326, Non-zero MAE: 20.8152, Non-zero RMSE: 31.6411, Sequence Accuracy: 0.4607, Non-zero Accuracy: 0.0127, Intent Accuracy: 0.8142
Epoch [29/300], Loss: 210.1405, Val Loss: 226.5364, MAE: 6.5523, RMSE: 15.0519, Non-zero MAE: 20.8383, Non-zero RMSE: 31.5843, Sequence Accuracy: 0.4600, Non-zero Accuracy: 0.0127, Intent Accuracy: 0.8348
Epoch [30/300], Loss: 207.7405, Val Loss: 223.9936, MAE: 6.5918, RMSE: 14.9673, Non-zero MAE: 20.6292, Non-zero RMSE: 31.2720, Sequence Accuracy: 0.4599, Non-zero Accuracy: 0.0122, Intent Accuracy: 0.8172
Epoch [31/300], Loss: 204.7562, Val Loss: 217.9995, MAE: 6.3682, RMSE: 14.7657, Non-zero MAE: 20.6768, Non-zero RMSE: 31.0274, Sequence Accuracy: 0.4568, Non-zero Accuracy: 0.0116, Intent Accuracy: 0.8279
Epoch [32/300], Loss: 195.1734, Val Loss: 212.2326, MAE: 6.3164, RMSE: 14.5685, Non-zero MAE: 20.4526, Non-zero RMSE: 30.5677, Sequence Accuracy: 0.4607, Non-zero Accuracy: 0.0113, Intent Accuracy: 0.8397
Epoch [33/300], Loss: 192.8215, Val Loss: 209.4382, MAE: 6.2910, RMSE: 14.4727, Non-zero MAE: 20.4373, Non-zero RMSE: 30.4074, Sequence Accuracy: 0.4583, Non-zero Accuracy: 0.0111, Intent Accuracy: 0.8304
Epoch [34/300], Loss: 190.8912, Val Loss: 207.8332, MAE: 6.3379, RMSE: 14.4176, Non-zero MAE: 20.1834, Non-zero RMSE: 30.1273, Sequence Accuracy: 0.4582, Non-zero Accuracy: 0.0120, Intent Accuracy: 0.8471
Epoch [35/300], Loss: 190.4675, Val Loss: 205.0899, MAE: 6.2207, RMSE: 14.3218, Non-zero MAE: 20.3806, Non-zero RMSE: 30.1981, Sequence Accuracy: 0.4581, Non-zero Accuracy: 0.0112, Intent Accuracy: 0.8490
Epoch [36/300], Loss: 187.9410, Val Loss: 203.7708, MAE: 6.3132, RMSE: 14.2759, Non-zero MAE: 20.0559, Non-zero RMSE: 29.8639, Sequence Accuracy: 0.4579, Non-zero Accuracy: 0.0114, Intent Accuracy: 0.8471
Epoch [37/300], Loss: 187.4013, Val Loss: 202.0809, MAE: 6.4137, RMSE: 14.2166, Non-zero MAE: 19.8858, Non-zero RMSE: 29.6341, Sequence Accuracy: 0.4576, Non-zero Accuracy: 0.0120, Intent Accuracy: 0.8539
Epoch [38/300], Loss: 186.3395, Val Loss: 202.9332, MAE: 6.0721, RMSE: 14.2468, Non-zero MAE: 20.3930, Non-zero RMSE: 30.0594, Sequence Accuracy: 0.4625, Non-zero Accuracy: 0.0105, Intent Accuracy: 0.8510
Epoch [39/300], Loss: 186.4907, Val Loss: 201.1441, MAE: 6.1532, RMSE: 14.1823, Non-zero MAE: 20.2126, Non-zero RMSE: 29.8746, Sequence Accuracy: 0.4604, Non-zero Accuracy: 0.0108, Intent Accuracy: 0.8412
Epoch [40/300], Loss: 185.9894, Val Loss: 200.6851, MAE: 6.1768, RMSE: 14.1669, Non-zero MAE: 20.1244, Non-zero RMSE: 29.7070, Sequence Accuracy: 0.4600, Non-zero Accuracy: 0.0107, Intent Accuracy: 0.8382
